,dataset,lambda,mean,std,sem,ci,lower,upper
121,wine,2.5,94.1011235955056,0.3768653894662575,0.11917530019998018,0.23646965085793678,93.86465394464766,94.33759324636354
122,seeds,2.5,87.09523809523809,1.4823221348831757,0.4687514172314165,0.9301045081142959,86.16513358712379,88.02534260335239
123,breast_cancer,2.5,93.1458699472759,0.6385202855741627,0.20191784346355085,0.40064880781245427,92.74522113946344,93.54651875508836
124,mnist,2.5,59.835000000000015,3.576454249672434,1.13097413763534,2.2440980556139554,57.59090194438606,62.07909805561397
125,iris,2.6,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
126,wine,2.6,94.3820224719101,0.3553120966481348,0.11235955056179847,0.22294572488861747,94.15907674702149,94.60496819679872
127,seeds,2.6,85.90476190476193,0.8832017614757791,0.27929291997362177,0.5541777462480183,85.35058415851391,86.45893965100994
128,breast_cancer,2.6,93.55008787346222,0.4586287645237233,0.14503114963639943,0.28777326560533606,93.26231460785688,93.83786113906756
129,mnist,2.6,59.795,2.4492294706703186,0.7745143639726773,1.536804530181552,58.258195469818446,61.33180453018156
130,iris,2.7,54.866666666666674,0.6000000000000001,0.18973665961010278,0.37647869632099873,54.49018797034567,55.243145362987676
131,wine,2.7,94.1011235955056,0.2808988764044926,0.08882802416203257,0.1762540713113279,93.92486952419426,94.27737766681693
132,seeds,2.7,85.71428571428571,0.6734350297014735,0.21295885499997985,0.4225565700648396,85.29172914422087,86.13684228435055
133,breast_cancer,2.7,93.02284710017574,0.4236193600419705,0.13396020386755486,0.26580610734156135,92.75704099283418,93.2886532075173
134,mnist,2.7,60.89,3.308232156303421,1.0461548642528975,2.075798215553864,58.814201784446134,62.96579821555387
135,iris,2.8,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
136,wine,2.8,93.93258426966293,0.3370786516853911,0.10659362899443905,0.2115048855735934,93.72107938408934,94.14408915523651
137,seeds,2.8,85.57142857142858,0.2182178902359948,0.06900655593423619,0.13692397804994352,85.43450459337863,85.70835254947853
138,breast_cancer,2.8,93.30404217926188,0.5180809480837884,0.16383158082842178,0.3250773998722194,92.97896477938967,93.6291195791341
139,mnist,2.8,58.970000000000006,0.8426743143112853,0.26647701589442846,0.5287482121251736,58.44125178787483,59.49874821212518
140,iris,2.9,54.66666666666667,7.105427357601002e-15,2.2469334198890887e-15,4.458403380655306e-15,54.666666666666664,54.66666666666668
141,wine,2.9,94.15730337078652,0.5148961455006573,0.16282445782235358,0.32307904933132453,93.8342243214552,94.48038242011785
142,seeds,2.9,86.42857142857142,1.568539913523868,0.4960158727618969,0.9842031029515297,85.44436832561989,87.41277453152294
143,breast_cancer,2.9,93.39191564147627,0.5165883464569127,0.16335957875040177,0.3241408453478648,93.0677747961284,93.71605648682414
144,mnist,2.9,59.605,2.529866597273459,0.8000140623764053,1.587401464012588,58.01759853598741,61.19240146401258
