dataset,r,mean,std,k
CIFAR_vae,,24.5084,0.25982309771316275,350.0
CIFAR_simclr,,79.06480000000002,1.7651167726393155,350.0
CIFAR_simclr_pca,,75.82669999999999,2.6410279717126097,350.0
FMNIST_raw,,61.723333333333336,1.506606406961378,350.0
FMNIST_vae,,54.985833333333325,2.317999584992067,350.0
FMNIST_simclr,,60.403666666666666,3.4491891410872433,350.0
FMNIST_simclr_pca,,60.6025,2.458842112085226,350.0
MNIST_raw,,58.66000000000001,4.47646143930045,350.0
MNIST_vae,,81.4865,5.408366134034021,350.0
MNIST_simclr,,96.47333333333334,0.000764719112901177,350.0
MNIST_simclr_pca,,85.56049999999999,4.559447876829003,350.0
CIFAR_raw,,20.6441,0.3148830860728101,400.0
CIFAR_vae,,24.5691,0.27938615043096215,400.0
CIFAR_simclr,,79.7941,1.3803155207567959,400.0
CIFAR_simclr_pca,,76.5541,0.20778579557348023,400.0
FMNIST_raw,,61.59866666666666,1.2810463331208393,400.0
FMNIST_vae,,54.54783333333332,1.887221037826261,400.0
FMNIST_simclr,,61.12875000000001,2.905008020793954,400.0
FMNIST_simclr_pca,,60.74766666666667,2.2120600728917537,400.0
MNIST_raw,,58.607083333333335,4.9716783520220735,400.0
MNIST_vae,,80.18091666666666,4.5321202090391735,400.0
MNIST_simclr,,96.41224999999999,0.0009785715810197765,400.0
MNIST_simclr_pca,,86.07125,5.045158088592358,400.0
CIFAR_raw,,20.506500000000003,0.2317883562762857,450.0
CIFAR_vae,,24.635,0.29806074972447427,450.0
CIFAR_simclr,,79.9877,1.4324395495649709,450.0
CIFAR_simclr_pca,,76.5042,0.004348018302386294,450.0
FMNIST_raw,,61.21891666666666,2.1310104729833927,450.0
FMNIST_vae,,55.30983333333334,1.5862093823573102,450.0
FMNIST_simclr,,62.200666666666656,2.2008494771457334,450.0
FMNIST_simclr_pca,,61.05483333333334,1.5648085191979189,450.0
MNIST_raw,,58.56541666666667,4.216215525238616,450.0
MNIST_vae,,78.92708333333333,5.07194190624187,450.0
MNIST_simclr,,96.35833333333333,0.0,450.0
MNIST_simclr_pca,,91.07233333333336,3.002994674911009,450.0
CIFAR_raw,,20.591699999999996,0.17697014318507936,500.0
CIFAR_vae,,24.4782,0.18567192345073244,500.0
CIFAR_simclr,,79.6436,2.322711718297341,500.0
CIFAR_simclr_pca,,76.20309999999998,0.7733662508118209,500.0
FMNIST_raw,,62.20283333333333,2.0803432648039606,500.0
FMNIST_vae,,53.965166666666654,3.1356265357867206,500.0
FMNIST_simclr,,60.81333333333333,1.831470345304832,500.0
FMNIST_simclr_pca,,60.69991666666666,0.9474165356933917,500.0
MNIST_raw,,57.062416666666664,4.655482414654564,500.0
MNIST_vae,,81.36516666666668,5.742462104654398,500.0
MNIST_simclr,,96.29666666666664,1.4580029302424492e-14,500.0
MNIST_simclr_pca,,94.16375000000002,3.938112390881754,500.0
