dataset,k,mean,std
CIFAR_simclr_pca,300,76.41120000000002,0.8252407056260757
MNIST_simclr_pca,150,88.80921666666666,6.926870767802612
MNIST_simclr_pca,250,89.03981666666668,7.055073016566139
FMNIST_simclr_pca,250,63.499466666666656,2.674326518531658
FMNIST_vae,250,56.42423333333333,2.837277729963574
FMNIST_simclr_pca,300,62.92256666666663,2.4444639854590844
MNIST_vae,250,87.79763333333334,6.351896560011888
CIFAR_simclr_pca,350,77.64122000000003,1.344286552394799
CIFAR_simclr_pca,400,77.63282,1.7064714873005344
FMNIST_vae,300,57.52705000000001,3.0900548618272348
MNIST_simclr_pca,300,87.76013333333334,6.924265744377911
CIFAR_simclr_pca,500,77.5964,1.3394777212244189
CIFAR_simclr_pca,450,77.63334000000003,1.1332151473136118
MNIST_vae,300,86.48963333333337,6.578140472443288
MNIST_simclr_pca,350,87.2673833333334,6.733554277865664
MNIST_simclr,20,89.59996666666666,7.842648115283329
FMNIST_vae,350,57.89960000000002,2.783673290394245
MNIST_vae,200,86.3831166666667,6.779983436669675
FMNIST_simclr_pca,400,62.976233333333305,2.396136031178157
FMNIST_simclr_pca,350,62.91793333333334,2.583425491133416
MNIST_simclr,15,89.02821666666667,7.216817609695848
FMNIST_vae,400,58.41019999999997,2.8691969813208456
MNIST_simclr_pca,400,87.00905,6.753581870673854
FMNIST_simclr,20,58.33540000000002,2.818901143055745
FMNIST_simclr_pca,450,63.22873333333333,2.450196367677411
MNIST_simclr,10,89.5364666666666,6.973774410827245
MNIST_simclr,5,89.34378333333338,6.981608667622571
CIFAR_simclr,15,73.10404000000001,2.603884324262776
CIFAR_simclr,10,73.13260000000002,2.3936189666644427
MNIST_simclr,25,93.06598333333342,6.424696690011289
CIFAR_simclr,20,72.88385999999998,3.031643368794481
FMNIST_simclr,15,58.27238333333332,3.2516772349585867
CIFAR_simclr,5,73.84349999999999,2.109780961870381
CIFAR_simclr,25,73.35896000000001,2.883905313454257
FMNIST_simclr,5,58.3194833333333,2.759804201554944
MNIST_simclr_pca,450,89.01323333333333,7.05839043032412
MNIST_vae,450,85.31856666666664,6.196037069440518
CIFAR_simclr,50,76.62431999999998,1.845040104570833
FMNIST_simclr_pca,500,63.270899999999976,2.2934737034697585
FMNIST_simclr,25,58.53898333333336,3.104699995040285
MNIST_simclr_pca,500,94.4615833333333,3.223933230634473
MNIST_simclr,100,92.47946666666658,6.706002440817583
FMNIST_vae,450,58.419383333333336,2.929338012719077
MNIST_simclr,50,92.04323333333332,6.838395869698318
FMNIST_simclr,10,58.059016666666686,2.994330699054034
FMNIST_vae,500,58.40983333333333,3.160457153956965
CIFAR_vae,300,24.45454,0.4492965415204326
CIFAR_simclr,100,76.29035999999998,1.3181999167827538
FMNIST_simclr,50,58.37070000000001,3.593177654311476
FMNIST_simclr,100,60.47176666666669,3.902735988273336
MNIST_vae,350,86.43166666666663,6.459497149401032
FMNIST_raw,20,55.84428333333335,1.4216718721903894
CIFAR_vae,350,24.538599999999988,0.3870851966879509
CIFAR_simclr,150,76.13024000000001,1.2954554685943904
FMNIST_simclr,150,62.830516666666696,3.1345797962658803
MNIST_vae,400,87.01928333333339,6.593048635200314
FMNIST_raw,15,56.08080000000002,1.5692693203448331
MNIST_simclr,150,91.02185,7.02683769771456
CIFAR_vae,100,24.056420000000003,0.2760458598995406
CIFAR_vae,400,24.560200000000005,0.2405906032741893
FMNIST_raw,50,55.03951666666664,2.175487964599889
FMNIST_raw,25,55.933366666666686,1.401380211503704
MNIST_simclr,250,91.14661666666665,7.119051625128578
FMNIST_raw,5,57.37546666666665,1.287906846357056
MNIST_simclr,200,90.94905000000004,7.12938517762526
CIFAR_simclr,200,76.23031999999998,1.0299523464508424
MNIST_raw,50,69.32693333333334,2.4925182853728614
CIFAR_vae,450,24.02352000000001,0.3016652931493927
FMNIST_simclr,200,63.226500000000016,2.7164750660574426
FMNIST_raw,10,57.441366666666646,1.1332883329350825
CIFAR_vae,500,24.305520000000005,0.4154989328895122
CIFAR_simclr,250,76.10812,1.7375318107981077
FMNIST_simclr,250,63.70103333333329,2.409741555594437
CIFAR_simclr,300,76.11845999999996,1.3973351797061595
FMNIST_raw,100,55.57011666666668,2.168580975811878
MNIST_vae,500,86.81354999999999,6.409473350739389
FMNIST_simclr,300,63.61018333333333,2.4796459630059804
CIFAR_vae,150,23.94625999999999,0.2800471323967385
MNIST_raw,15,70.87313333333333,2.466047359237499
MNIST_raw,10,70.56944999999996,2.8170056980727223
FMNIST_simclr,350,63.46491666666666,2.399233830368226
MNIST_simclr,350,89.54861666666667,7.375683753633551
CIFAR_simclr,350,75.74792,1.726563397403213
MNIST_raw,5,72.37088333333332,3.198787688209774
MNIST_simclr,300,90.21493333333332,7.295644042390363
MNIST_raw,25,70.40543333333335,2.145099086501388
MNIST_raw,20,70.23553333333334,2.7080988386440628
CIFAR_simclr,400,75.46224000000001,2.086042839851802
MNIST_raw,100,67.71508333333333,2.1537680729775266
FMNIST_raw,150,54.63428333333337,2.162466691451827
CIFAR_simclr,450,75.45425999999998,2.132990628818201
FMNIST_simclr,400,63.468533333333326,2.5949288505888566
CIFAR_simclr,500,76.02392,1.2489263888830613
MNIST_simclr,450,89.59501666666664,7.289973552329177
CIFAR_vae,200,24.20304,0.4462884404969639
FMNIST_simclr,500,63.03939999999996,2.189709846047313
FMNIST_raw,200,54.34576666666664,1.9696903996523425
FMNIST_raw,250,53.88041666666666,1.889418855763336
MNIST_raw,150,66.07366666666668,2.712855458046263
FMNIST_simclr,450,62.966933333333344,2.732142671193724
MNIST_simclr,500,88.49478333333336,7.201000583825082
CIFAR_vae,250,24.40150000000001,0.4484785841085849
MNIST_raw,250,65.50195000000001,2.7723290606626825
FMNIST_raw,300,53.80618333333332,2.136625895793326
MNIST_raw,200,65.39086666666664,2.664943450799585
MNIST_simclr,400,88.67993333333338,7.219380248605962
FMNIST_raw,400,53.27451666666667,2.3362519180111483
MNIST_raw,350,64.49680000000001,2.6832113517666025
FMNIST_raw,450,53.51673333333332,1.8732026764649887
MNIST_raw,300,64.61478333333332,2.4193741788379564
FMNIST_raw,350,53.434450000000005,2.0913216015825475
MNIST_raw,400,64.20533333333334,2.8858835085880186
MNIST_raw,450,64.66776666666668,3.0999273118808777
MNIST_raw,500,64.18301666666667,3.090699951369258
FMNIST_raw,500,53.27051666666668,1.7825590958323607
CIFAR_raw,15,19.73512000000001,0.3165073691835228
CIFAR_raw,20,20.9505,0.1210814485035474
CIFAR_raw,10,19.83142,0.2708263889086382
CIFAR_raw,5,17.894119999999997,0.3335611124780223
CIFAR_raw,25,20.88550000000001,0.1985216829111079
CIFAR_raw,50,20.605460000000004,0.236563418366177
CIFAR_raw,100,20.49338,0.2260525897514415
CIFAR_raw,150,20.43058000000001,0.2337957832870993
CIFAR_raw,200,20.15832,0.2689944943298988
CIFAR_raw,250,20.1711,0.277867110887797
CIFAR_raw,300,20.148560000000018,0.2252992766087009
